epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.20332,0.67294,2.60977,1.15079,0.0034,1,0.45663,0.37408,0.6881,2.74151,1.04835,0.00037154,0.00037154,0.00037154
2,8.20001,0.63371,1.62733,1.108,0.75178,0.61758,0.73266,0.63593,0.57381,1.86161,0.9661,0.000744873,0.000744873,0.000744873
3,11.9393,0.65961,1.42582,1.09675,0.56506,0.5977,0.54868,0.43177,0.80164,1.98123,1.12509,0.00110547,0.00110547,0.00110547
4,15.1764,0.69826,1.4353,1.11349,0.76189,0.66589,0.74901,0.6246,0.61694,2.14943,1.00223,0.00135826,0.00135826,0.00135826
5,18.4014,0.65342,1.25199,1.07292,0.67569,0.73528,0.81362,0.66377,0.68602,1.77576,1.12927,0.00133469,0.00133469,0.00133469
6,21.6561,0.63147,1.12432,1.0621,0.59169,0.72259,0.67013,0.54883,0.69762,2.57842,1.07127,0.00131111,0.00131111,0.00131111
7,24.9643,0.63119,1.0327,1.06173,0.7914,0.75913,0.84448,0.7159,0.63699,1.40973,1.00017,0.00128753,0.00128753,0.00128753
8,28.2288,0.65538,1.07949,1.07569,0.84262,0.82239,0.867,0.74868,0.60133,1.05232,0.96963,0.00126395,0.00126395,0.00126395
9,31.0945,0.64612,1.04964,1.09621,0.7714,0.80481,0.87575,0.78016,0.52657,1.24776,0.90741,0.00124037,0.00124037,0.00124037
10,34.9398,0.61047,0.98978,1.05425,0.82337,0.69433,0.8326,0.69602,0.67703,1.33191,1.01849,0.00121679,0.00121679,0.00121679
11,37.9323,0.60864,0.90005,1.04778,0.87716,0.87879,0.90076,0.805,0.58104,0.80966,0.93898,0.00119322,0.00119322,0.00119322
12,40.7941,0.56044,0.83827,1.02056,0.90587,0.88241,0.93909,0.83563,0.50724,0.72597,0.88053,0.00116964,0.00116964,0.00116964
13,43.6633,0.60012,0.83569,1.04617,0.89409,0.90092,0.95257,0.84557,0.52669,0.71982,0.92848,0.00114606,0.00114606,0.00114606
14,46.5332,0.57942,0.78365,1.04031,0.95019,0.80079,0.94528,0.85111,0.51367,0.87287,0.88052,0.00112248,0.00112248,0.00112248
15,49.6574,0.55148,0.75466,1.02587,0.76707,0.81845,0.90422,0.81916,0.48197,0.99542,0.84963,0.0010989,0.0010989,0.0010989
16,52.4995,0.58912,0.73154,1.03558,0.75385,0.82865,0.86779,0.75229,0.56555,1.03809,0.91523,0.00107532,0.00107532,0.00107532
17,55.3243,0.57668,0.76183,1.0447,0.89053,0.87372,0.93565,0.84094,0.51034,0.65032,0.85902,0.00105174,0.00105174,0.00105174
18,58.1684,0.54076,0.72461,1.01965,0.82702,0.87496,0.92479,0.84192,0.47535,0.66732,0.84996,0.00102817,0.00102817,0.00102817
19,61.2213,0.54462,0.65199,1.02646,0.82597,0.88522,0.93008,0.8247,0.51965,0.70933,0.90821,0.00100459,0.00100459,0.00100459
20,64.111,0.55812,0.67809,1.03059,0.89787,0.86112,0.93816,0.83099,0.52239,0.65639,0.89375,0.000981008,0.000981008,0.000981008
21,67.3624,0.54898,0.65282,1.02753,0.82214,0.9244,0.9305,0.84301,0.46122,0.68057,0.81845,0.00095743,0.00095743,0.00095743
22,70.7112,0.50327,0.65078,0.99466,0.89589,0.88245,0.94937,0.8792,0.41462,0.58222,0.79268,0.000933851,0.000933851,0.000933851
23,74.0004,0.54418,0.65222,1.02505,0.88244,0.85419,0.94796,0.86713,0.4669,0.58574,0.82152,0.000910273,0.000910273,0.000910273
24,77.9499,0.53088,0.59115,1.01032,0.90991,0.91424,0.97032,0.88456,0.45836,0.48366,0.82397,0.000886694,0.000886694,0.000886694
25,81.2632,0.51714,0.59802,1.01259,0.84147,0.88204,0.93503,0.85062,0.45928,0.65617,0.81752,0.000863116,0.000863116,0.000863116
26,84.4702,0.48945,0.60007,0.98313,0.90299,0.89664,0.95735,0.88742,0.4485,0.5167,0.81728,0.000839537,0.000839537,0.000839537
27,87.6989,0.49836,0.55405,0.9881,0.91325,0.90371,0.96597,0.88759,0.43238,0.49382,0.81298,0.000815959,0.000815959,0.000815959
28,91.7212,0.49593,0.54494,0.97018,0.93615,0.96795,0.98086,0.89488,0.43879,0.44709,0.8013,0.00079238,0.00079238,0.00079238
29,96.9047,0.50304,0.54827,1.00143,0.8578,0.93651,0.95716,0.87944,0.45575,0.51513,0.81839,0.000768802,0.000768802,0.000768802
30,100.489,0.4827,0.50104,0.98151,0.93434,0.90333,0.97297,0.88567,0.44957,0.45544,0.82466,0.000745223,0.000745223,0.000745223
31,103.816,0.46675,0.52939,0.97968,0.89069,0.94842,0.97177,0.88878,0.44052,0.44867,0.80594,0.000721645,0.000721645,0.000721645
32,107.497,0.46344,0.4781,0.97822,0.92602,0.94356,0.97827,0.90102,0.40941,0.39779,0.78409,0.000698066,0.000698066,0.000698066
33,110.612,0.48987,0.48975,0.9865,0.91362,0.94728,0.97842,0.89682,0.39682,0.44116,0.77734,0.000674488,0.000674488,0.000674488
34,113.589,0.46268,0.48807,0.96716,0.89895,0.92278,0.96315,0.89591,0.39478,0.53739,0.7859,0.000650909,0.000650909,0.000650909
35,117.586,0.46624,0.48985,0.99001,0.92807,0.88224,0.96392,0.88885,0.40552,0.44624,0.77308,0.000627331,0.000627331,0.000627331
36,122.401,0.46439,0.46878,0.96053,0.88378,0.97917,0.9813,0.90277,0.41781,0.44413,0.80335,0.000603752,0.000603752,0.000603752
37,125.746,0.44575,0.43105,0.97529,0.9538,0.917,0.98334,0.91176,0.39449,0.39995,0.77993,0.000580174,0.000580174,0.000580174
38,129.029,0.47228,0.4629,0.9817,0.96853,0.90651,0.98118,0.91149,0.36694,0.40623,0.76921,0.000556595,0.000556595,0.000556595
39,131.871,0.46747,0.44418,0.98973,0.94181,0.94546,0.96863,0.89913,0.39433,0.45177,0.781,0.000533017,0.000533017,0.000533017
40,136.332,0.44669,0.41549,0.96463,0.92483,0.94539,0.97492,0.91264,0.39515,0.41823,0.77284,0.000509438,0.000509438,0.000509438
41,140.856,0.41373,0.41582,0.9452,0.94106,0.97996,0.98447,0.92039,0.38419,0.35652,0.76953,0.00048586,0.00048586,0.00048586
42,144.444,0.4473,0.43467,0.97165,0.95943,0.91235,0.9843,0.90768,0.39688,0.3672,0.77505,0.000462281,0.000462281,0.000462281
