Sensor1,Sensor2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
108,0
205,0
238,0
287,0
348,0
355,0
364,0
397,0
419,0
425,0
427,0
418,0
430,0
458,0
456,0
470,0
476,0
476,0
477,0
475,0
480,0
493,0
505,0
520,0
515,0
521,0
526,0
524,0
529,0
531,0
532,0
528,0
522,0
521,0
515,0
529,0
544,0
558,0
540,0
536,0
548,0
549,0
542,0
564,0
568,0
560,0
171,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,265
0,325
0,365
0,431
0,414
0,442
0,458
0,466
0,491
0,501
0,489
0,519
0,479
0,481
0,490
0,481
0,527
0,537
0,520
0,499
0,496
0,485
0,489
0,538
0,562
0,559
0,573
0,578
0,548
0,548
0,551
0,553
0,559
0,570
0,593
0,580
0,572
0,579
0,593
0,596
0,579
0,548
0,275
0,86
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
9,0
61,0
67,0
99,0
85,0
92,0
87,0
85,0
94,0
138,0
145,0
145,0
149,0
142,0
145,0
144,0
143,0
137,0
131,0
146,0
167,0
169,0
162,0
180,0
161,0
168,0
198,0
205,0
198,0
207,0
254,0
198,0
222,0
234,0
257,0
264,0
235,0
296,0
257,0
189,0
208,0
211,0
180,0
226,0
127,0
84,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
13,0
104,0
207,0
243,0
293,0
345,0
346,0
316,0
340,0
358,0
387,0
367,0
352,0
361,0
385,0
382,0
391,0
397,0
357,0
371,0
399,0
411,0
417,0
428,0
415,0
429,0
446,0
453,0
447,0
407,0
352,0
311,0
272,0
315,0
362,0
374,0
376,0
386,0
415,0
420,0
386,0
35,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
