Sensor1,Sensor2
27,40
27,40
27,41
27,40
27,40
26,41
26,40
26,40
26,41
27,40
27,41
26,41
26,41
26,40
27,40
26,40
26,41
27,41
26,41
27,41
25,36
18,27
20,22
21,23
26,62
32,118
42,166
56,190
95,191
266,229
416,269
464,306
441,341
505,359
511,367
489,375
478,378
472,382
384,386
398,385
332,389
318,392
223,395
373,396
368,397
355,400
378,400
360,398
365,399
397,399
350,400
324,399
120,399
123,399
117,399
117,400
119,399
119,400
120,400
122,399
122,396
108,350
104,262
105,234
93,208
76,110
60,76
56,13
58,12
2,7
0,9
0,9
0,10
0,13
0,18
0,18
0,19
0,21
0,19
0,19
0,19
1,20
1,20
1,21
6,20
12,20
14,20
13,18
13,20
16,20
16,21
17,21
17,21
19,21
18,22
18,22
18,20
16,20
16,20
16,20
17,21
18,21
19,22
19,23
19,21
19,21
18,21
17,21
17,20
18,20
17,20
17,21
18,21
19,21
19,22
18,22
18,21
18,20
18,21
17,20
16,20
16,21
17,20
19,17
21,17
27,17
26,19
22,22
43,88
36,118
153,155
349,209
298,256
97,298
93,332
95,349
98,352
128,358
129,362
145,362
145,364
113,365
110,368
115,365
112,369
115,371
110,372
102,373
102,375
103,373
112,373
108,373
107,374
109,373
136,375
138,376
138,376
135,378
138,376
139,381
137,383
137,381
135,381
137,382
134,381
139,381
139,380
139,382
134,309
116,193
80,137
88,109
53,54
56,38
48,1
42,0
33,0
0,2
16,5
4,5
7,13
6,12
8,13
9,15
8,14
8,16
7,15
9,16
6,16
8,17
7,16
4,17
7,19
8,18
6,19
7,19
7,19
6,19
7,19
6,19
8,19
7,19
7,19
6,19
9,17
25,17
54,20
58,19
39,15
3,22
16,52
71,79
64,131
108,209
103,256
105,308
113,329
110,330
113,335
118,335
121,338
116,341
122,340
122,338
120,341
117,345
122,347
123,344
121,344
120,344
124,350
123,352
125,352
122,354
123,357
133,356
131,356
130,358
131,358
118,237
109,114
112,85
94,57
68,18
72,4
71,0
55,0
34,0
0,0
0,11
0,15
0,15
0,16
0,16
0,17
0,21
0,19
0,19
0,22
0,22
22,18
24,18
24,19
25,21
26,21
27,21
25,22
26,21
25,21
25,20
25,20
26,20
20,17
21,16
35,18
49,18
43,19
34,7
12,20
51,56
80,113
120,202
113,253
119,309
138,327
145,331
144,333
145,336
147,339
148,339
146,342
150,343
151,345
152,346
151,345
149,346
149,348
151,348
144,349
153,350
144,297
118,189
142,67
122,61
83,15
75,11
69,2
70,0
59,0
30,0
0,13
0,17
0,15
0,16
0,18
0,19
0,19
0,19
0,21
0,20
0,19
0,20
0,20
0,20
