Sensor1,Sensor2
70,94
70,94
70,94
69,95
69,94
69,94
71,94
70,93
70,94
70,94
70,95
70,95
70,95
70,95
70,95
69,95
69,94
69,94
69,94
69,94
69,93
69,94
68,93
68,92
69,94
70,94
70,94
69,94
70,92
70,92
70,92
70,93
70,93
70,92
69,93
68,94
68,93
69,94
69,94
69,94
69,92
69,92
69,92
68,92
69,94
70,93
70,92
69,93
70,93
69,93
69,92
70,94
69,94
69,95
70,95
70,95
69,95
70,95
70,95
71,95
71,95
71,96
71,96
71,96
71,96
71,95
71,96
71,89
71,95
71,98
71,99
70,98
71,99
70,99
70,97
70,97
70,98
69,98
69,97
70,98
69,99
70,98
70,99
71,99
71,99
71,99
71,101
69,100
70,101
70,101
70,100
71,100
70,100
70,102
71,101
70,100
69,100
70,101
70,102
71,103
70,101
70,100
71,100
69,100
70,101
71,101
71,103
69,101
70,101
71,101
70,100
70,100
70,100
69,101
71,102
71,101
69,101
70,102
70,102
71,102
71,102
70,102
70,101
71,102
71,101
70,98
70,99
70,99
71,101
71,101
70,101
71,100
70,99
70,98
70,98
61,44
86,0
245,0
437,0
478,0
592,0
474,337
433,524
568,684
471,757
584,849
569,824
598,841
416,820
487,827
261,834
259,846
384,816
411,818
368,803
343,806
271,811
265,813
199,818
199,832
202,818
200,831
199,816
195,819
200,786
201,782
200,746
201,754
286,784
291,788
293,774
294,736
297,778
421,783
410,782
420,778
400,766
420,752
453,788
489,792
524,795
510,796
536,797
541,797
546,796
562,798
569,801
589,802
537,794
263,797
418,807
334,817
494,830
263,825
390,832
364,830
176,308
138,477
57,234
39,135
67,81
87,85
90,71
91,71
79,71
89,71
92,69
99,68
102,65
105,67
108,65
111,64
114,64
115,67
109,63
110,60
120,70
123,71
126,65
127,67
129,67
130,68
128,69
130,69
130,66
130,72
129,66
131,66
132,69
134,64
133,71
133,67
133,68
133,70
127,69
133,70
147,0
253,0
354,0
416,0
371,0
436,0
331,260
303,290
247,412
257,346
324,308
382,375
270,442
419,444
417,421
412,411
472,521
478,515
485,554
487,571
491,611
495,611
501,623
504,595
507,600
506,612
507,640
512,665
513,655
515,683
515,718
513,726
513,733
513,740
515,743
515,749
519,751
522,753
523,761
521,765
524,769
527,770
528,774
529,774
532,776
534,779
535,779
535,779
535,781
535,783
506,781
403,748
323,743
366,722
391,750
400,657
447,517
191,425
117,212
15,80
21,84
28,62
35,44
38,52
40,36
42,60
46,63
84,67
94,69
96,74
110,75
110,73
115,75
118,77
117,79
119,77
122,74
123,75
122,78
125,71
122,71
119,65
119,71
121,76
122,77
124,78
128,71
128,65
129,63
124,46
130,62
127,62
135,69
133,71
134,66
135,69
134,73
133,72
129,72
129,71
128,67
133,48
202,0
294,0
372,0
416,0
397,0
370,382
335,636
451,693
430,759
372,795
361,763
470,813
385,806
381,752
411,780
454,772
511,790
513,772
524,780
553,781
551,782
559,783
564,785
564,785
569,785
580,784
581,786
586,786
586,786
589,786
590,788
591,791
592,792
594,792
595,793
595,794
596,788
596,788
594,791
587,792
570,790
582,791
591,790
590,792
572,800
572,871
432,875
449,871
330,855
426,829
429,807
252,458
133,209
31,127
24,50
26,30
30,33
35,29
40,26
108,26
119,28
116,33
121,28
115,34
121,34
130,39
118,42
124,42
135,47
141,43
141,43
140,45
139,47
140,47
132,48
139,47
143,44
138,46
138,45
140,47
143,46
142,50
143,51
144,49
143,48
144,47
142,51
136,52
140,50
141,49
141,48
140,50
144,51
152,0
222,0
213,0
256,0
271,0
287,0
223,0
227,0
281,0
293,0
318,13
321,234
323,308
338,377
348,535
339,419
349,531
352,590
354,620
363,626
366,635
349,587
336,637
337,658
337,664
338,668
340,687
339,684
339,674
337,683
337,681
341,668
339,619
359,619
359,623
360,686
359,691
355,694
356,696
357,700
361,703
358,714
359,715
360,715
360,713
361,713
363,711
363,734
358,661
351,722
340,641
330,645
310,731
293,683
260,462
257,283
143,177
108,63
107,23
116,27
123,29
127,30
126,30
128,34
129,35
130,33
131,34
134,34
134,33
137,33
135,35
136,36
133,36
137,38
136,35
133,35
137,35
136,34
135,36
133,38
139,39
137,39
135,40
139,40
141,39
140,39
139,41
143,40
141,39
140,38
140,39
139,41
145,41
120,40
126,41
184,0
253,0
388,0
459,0
466,0
393,245
215,566
269,749
235,806
186,758
204,765
360,801
363,792
406,739
403,744
382,742
498,750
543,752
558,753
583,755
593,754
596,756
594,758
598,759
602,761
602,762
