Sensor1,Sensor2
162,121
162,122
162,120
168,120
170,121
167,120
166,120
162,119
163,120
169,119
170,119
168,121
171,118
170,120
172,121
167,120
163,120
165,120
168,120
165,119
164,120
174,122
167,120
172,120
172,121
173,120
170,120
172,121
171,120
168,120
164,120
166,123
169,122
167,122
172,122
171,121
171,121
169,121
168,122
171,120
170,121
173,121
173,122
173,122
171,122
173,122
166,120
164,120
164,122
165,120
175,120
175,120
173,119
175,120
175,121
169,120
168,119
171,121
167,120
172,120
171,120
170,120
171,122
170,121
166,121
165,119
166,119
166,120
168,120
166,119
170,119
170,120
170,121
168,120
169,120
172,120
170,119
168,120
169,120
168,121
169,120
167,118
167,119
168,118
166,119
162,120
162,120
163,120
166,119
167,119
164,118
166,120
168,120
168,119
171,119
170,120
169,120
167,121
169,120
169,121
121,59
101,0
534,0
680,0
668,0
656,0
669,0
637,0
589,0
650,0
623,0
676,0
584,0
615,0
657,0
678,0
741,0
698,0
708,0
702,0
682,0
753,0
772,0
734,0
735,0
726,0
729,0
732,0
737,0
739,0
741,0
745,0
747,0
748,0
751,0
751,0
756,0
759,0
763,0
770,0
779,0
781,0
782,0
783,0
793,0
794,0
794,0
795,0
796,0
797,0
797,0
804,0
798,0
834,0
791,0
792,0
797,0
792,0
773,0
768,0
756,0
691,0
672,0
422,0
363,0
417,0
387,0
499,0
614,0
341,287
160,181
2,182
76,30
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,36
0,35
0,41
0,41
0,36
0,26
361,0
365,0
563,0
586,0
481,0
532,0
463,0
514,0
592,0
540,0
613,0
638,0
638,0
650,0
675,0
664,0
644,0
654,0
636,0
673,0
677,0
699,0
746,0
709,0
705,0
710,0
698,0
703,0
700,0
705,0
709,0
710,0
690,0
692,0
710,0
708,0
708,2
706,277
701,307
682,348
687,363
703,362
701,371
700,375
711,365
703,342
710,322
734,187
768,104
784,0
809,0
755,0
752,0
754,0
747,0
746,0
729,0
705,0
634,0
612,0
598,0
646,0
510,0
547,0
554,0
210,0
206,0
251,0
0,0
0,0
0,0
7,0
20,0
22,0
25,0
25,0
30,0
28,0
30,0
30,0
29,0
26,0
23,0
22,0
18,0
12,0
2,0
5,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
44,0
97,0
103,0
432,0
515,0
311,0
134,0
127,0
204,0
188,0
294,0
560,0
578,0
608,0
656,0
661,0
607,0
603,0
686,0
667,0
701,0
732,0
734,0
765,0
756,0
746,0
709,0
700,0
708,0
717,0
723,0
724,0
728,0
732,0
726,0
686,0
700,0
699,0
705,0
735,0
689,0
677,0
662,0
687,0
688,199
683,174
403,161
394,159
438,128
495,249
177,258
78,264
285,287
355,228
341,276
214,332
172,35
91,81
85,0
59,0
83,0
94,0
90,0
93,0
95,0
99,0
111,0
111,0
96,0
105,0
105,0
96,0
96,0
96,0
95,0
87,0
90,0
96,0
100,0
100,0
97,0
97,0
96,0
84,0
88,0
93,0
94,0
102,0
101,0
100,0
97,0
0,0
0,0
0,0
0,0
0,0
316,0
233,0
4,0
253,0
184,0
177,0
159,0
304,0
191,0
176,0
262,0
517,0
486,0
506,0
558,0
575,0
565,0
620,0
602,0
604,0
573,0
594,0
587,0
585,0
585,0
589,0
569,0
552,164
585,351
593,374
600,477
584,509
585,491
595,491
591,505
598,514
610,528
604,530
593,542
581,554
592,561
590,570
394,575
576,574
591,573
593,565
609,571
617,568
398,370
397,244
398,61
637,0
551,0
483,0
518,0
520,0
345,0
396,0
583,0
440,0
545,0
611,0
609,0
305,0
287,0
128,0
240,0
108,0
187,0
5,0
37,0
43,0
38,0
34,0
50,0
53,0
56,0
62,0
64,0
54,0
49,0
57,0
59,0
53,0
60,0
58,0
52,0
53,0
53,0
53,0
55,0
57,0
55,0
58,0
60,0
52,0
46,0
51,0
38,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
22,0
67,0
97,0
81,0
90,0
86,0
100,0
103,0
94,0
93,0
103,0
101,0
103,0
103,0
101,0
106,0
105,0
104,0
108,0
106,0
106,0
106,0
110,0
108,0
110,0
112,0
97,0
63,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
215,0
275,0
335,0
364,0
494,0
517,0
500,0
536,0
632,0
658,0
676,0
688,0
653,0
637,0
685,0
624,20
658,177
671,228
708,289
715,359
719,392
721,408
721,464
725,509
727,532
729,549
731,558
732,563
734,566
735,571
737,576
738,586
738,589
739,591
739,593
739,592
739,595
719,455
657,196
667,73
498,0
508,0
533,0
502,0
444,0
491,0
393,0
430,0
389,0
230,0
230,0
398,0
370,0
429,0
380,0
303,0
286,0
89,0
10,0
18,0
16,0
14,0
14,0
14,0
14,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
67,0
242,0
309,0
15,0
22,0
84,0
134,0
172,0
213,0
209,0
304,0
539,0
584,0
613,0
615,0
591,0
609,0
610,0
538,0
575,0
571,0
609,0
620,0
543,0
361,0
353,0
343,0
331,0
327,0
318,0
317,0
553,226
565,294
560,332
576,325
579,346
569,351
569,340
574,302
565,300
589,263
615,240
623,209
629,216
629,260
651,259
657,240
636,248
637,212
639,203
641,201
639,203
645,168
669,152
670,176
666,80
633,35
668,12
662,0
616,0
639,0
593,0
368,0
636,0
657,0
669,0
663,0
617,0
676,0
711,0
670,0
654,0
638,0
732,0
745,0
728,0
13,0
0,0
0,0
0,0
0,0
1,0
36,0
58,0
55,0
55,0
61,0
56,0
57,0
62,0
62,0
64,0
63,0
60,0
59,0
62,0
57,0
56,0
58,0
57,0
68,0
65,0
71,0
77,0
335,0
279,0
332,0
0,0
0,0
0,0
0,0
272,0
401,0
422,0
315,0
511,0
518,0
367,0
619,0
595,0
542,0
531,0
586,0
663,0
662,0
689,0
690,0
729,0
717,0
722,0
722,0
714,0
750,0
759,0
762,0
764,0
766,0
768,0
770,0
772,0
772,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
780,0
781,0
781,0
782,0
782,0
782,0
784,0
783,0
784,0
785,0
785,0
785,0
786,0
786,0
787,0
787,0
787,0
793,0
793,0
794,0
794,0
820,0
793,0
777,0
776,0
776,0
770,0
766,0
725,0
695,0
707,0
734,0
486,0
612,0
584,0
563,0
465,0
329,0
40,0
46,0
8,0
0,0
0,0
37,0
41,0
45,0
48,0
49,0
50,0
51,0
50,0
56,0
56,0
56,0
52,0
54,0
44,0
50,0
35,0
49,0
48,0
24,0
22,0
11,0
29,0
33,0
29,0
28,0
29,0
6,0
11,0
16,0
17,0
8,0
11,0
8,0
3,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
68,0
449,0
437,0
484,0
524,0
515,0
526,0
547,0
583,0
586,0
602,0
639,0
660,0
700,0
702,0
705,0
706,0
689,0
687,0
710,0
722,0
721,0
730,0
738,0
740,0
738,0
737,0
744,0
752,0
753,0
754,0
755,0
755,0
757,0
759,0
761,0
763,0
769,0
771,0
774,0
776,0
778,0
780,0
781,0
781,0
782,0
783,0
784,0
785,0
